run,seed,suite,task_id,successes,episodes,success_rate_pct,source
smolvla_libero_4suites,unknown,libero_10,0,0,10,0.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,1,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,2,5,10,50.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,3,10,10,100.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,4,0,10,0.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,5,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,6,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,7,0,10,0.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,8,1,10,10.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_10,9,4,10,40.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,0,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,1,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,2,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,3,2,10,20.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,4,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,5,5,10,50.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,6,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,7,10,10,100.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,8,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_goal,9,4,10,40.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,0,5,10,50.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,1,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,2,10,10,100.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,3,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,4,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,5,10,10,100.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,6,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,7,5,10,50.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,8,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_object,9,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,0,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,0,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,1,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,1,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,2,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,2,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,3,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,3,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,4,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,4,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,5,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,5,3,10,30.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,6,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,6,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,7,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,7,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,8,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,8,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
smolvla_libero_4suites,unknown,libero_spatial,9,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/smolvla_libero_4suites/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,9,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
